Bioinforma	acropora	Species	Year	Date	Areas	Location	population	Site	label_plot	GPS_point_	GPS_poin_1	source_file	geometry
BFC18-377-T	Acropora	A.tenuis	2018	14/04/2018	Chagos	EG	Chagos western atolls	Egmont Mid	Egmont Mid	-6.6434	71.358	population_Chagos western atolls.shp	"c(71.358, -6.6434)"
BFC18-378-T	Acropora	A.tenuis	2018	14/04/2018	Chagos	EG	Chagos western atolls	Egmont Mid	Egmont Mid	-6.6434	71.358	population_Chagos western atolls.shp	"c(71.358, -6.6434)"
BFC18-380-T	Acropora	A.tenuis	2018	14/04/2018	Chagos	EG	Chagos western atolls	Egmont Mid	Egmont Mid	-6.6434	71.358	population_Chagos western atolls.shp	"c(71.358, -6.6434)"
BFC18-381-T	Acropora	A.tenuis	2018	14/04/2018	Chagos	EG	Chagos western atolls	Egmont Mid	Egmont Mid	-6.6434	71.358	population_Chagos western atolls.shp	"c(71.358, -6.6434)"
BFC19-227-T	Acropora	A.tenuis	2019	16/03/2019	Chagos	GCB	Chagos western atolls	Eagle Seaward	Eagle Seaward	-6.6434	71.358	population_Chagos western atolls.shp	"c(71.358, -6.6434)"
BFC19-240-T	Acropora	A.tenuis	2019	16/03/2019	Chagos	GCB	Chagos western atolls	Eagle Seaward	Eagle Seaward	-6.6434	71.358	population_Chagos western atolls.shp	"c(71.358, -6.6434)"
BFC19-243-T	Acropora	A.tenuis	2019	16/03/2019	Chagos	GCB	Chagos western atolls	Eagle Seaward	Eagle Seaward	-6.6434	71.358	population_Chagos western atolls.shp	"c(71.358, -6.6434)"
BFC19-246-T	Acropora	A.tenuis	2019	16/03/2019	Chagos	GCB	Chagos western atolls	Eagle Seaward	Eagle Seaward	-6.6434	71.358	population_Chagos western atolls.shp	"c(71.358, -6.6434)"
BFC19-248-T	Acropora	A.tenuis	2019	16/03/2019	Chagos	GCB	Chagos western atolls	Eagle Seaward	Eagle Seaward	-6.6434	71.358	population_Chagos western atolls.shp	"c(71.358, -6.6434)"
BFC18-001-T	Acropora	A.tenuis	2018	29/03/2018	Chagos	Diego Garcia	Diego Garcia	Cannon Point	Cannon Point	-7.25738	72.37257	population_Diego Garcia.shp	"c(72.37257, -7.25738)"
BFC18-004-T	Acropora	A.tenuis	2018	29/03/2018	Chagos	Diego Garcia	Diego Garcia	Cannon Point	Cannon Point	-7.25738	72.37257	population_Diego Garcia.shp	"c(72.37257, -7.25738)"
BFC18-012-T	Acropora	A.tenuis	2018	29/03/2018	Chagos	Diego Garcia	Diego Garcia	Cannon Point	Cannon Point	-7.25738	72.37257	population_Diego Garcia.shp	"c(72.37257, -7.25738)"
BFC18-013-T	Acropora	A.tenuis	2018	29/03/2018	Chagos	Diego Garcia	Diego Garcia	Cannon Point	Cannon Point	-7.25738	72.37257	population_Diego Garcia.shp	"c(72.37257, -7.25738)"
BFC18-014-T	Acropora	A.tenuis	2018	30/03/2018	Chagos	Diego Garcia	Diego Garcia	Cannon Point	Cannon Point	-7.25738	72.37257	population_Diego Garcia.shp	"c(72.37257, -7.25738)"
BFC18-015-T	Acropora	A.tenuis	2018	29/03/2018	Chagos	Diego Garcia	Diego Garcia	Cannon Point	Cannon Point	-7.25738	72.37257	population_Diego Garcia.shp	"c(72.37257, -7.25738)"
BFC18-032-T	Acropora	A.tenuis	2018	29/03/2018	Chagos	Diego Garcia	Diego Garcia	Mid Island	Mid Island	-7.22617	72.40833	population_Diego Garcia.shp	"c(72.40833, -7.22617)"
BFC18-033-T	Acropora	A.tenuis	2018	29/03/2018	Chagos	Diego Garcia	Diego Garcia	Mid Island	Mid Island	-7.22617	72.40833	population_Diego Garcia.shp	"c(72.40833, -7.22617)"
BFC18-034-T	Acropora	A.tenuis	2018	31/03/2018	Chagos	Diego Garcia	Diego Garcia	Mid Island	Mid Island	-7.22617	72.40833	population_Diego Garcia.shp	"c(72.40833, -7.22617)"
BFC18-036-T	Acropora	A.tenuis	2018	01/04/2018	Chagos	Diego Garcia	Diego Garcia	Mid Island	Mid Island	-7.22617	72.40833	population_Diego Garcia.shp	"c(72.40833, -7.22617)"
BFC18-037-T	Acropora	A.tenuis	2018	29/03/2018	Chagos	Diego Garcia	Diego Garcia	Mid Island	Mid Island	-7.22617	72.40833	population_Diego Garcia.shp	"c(72.40833, -7.22617)"
BFC18-038-T	Acropora	A.tenuis	2018	29/03/2018	Chagos	Diego Garcia	Diego Garcia	Mid Island	Mid Island	-7.22617	72.40833	population_Diego Garcia.shp	"c(72.40833, -7.22617)"
BFC18-040-T	Acropora	A.tenuis	2018	29/03/2018	Chagos	Diego Garcia	Diego Garcia	Mid Island	Mid Island	-7.22617	72.40833	population_Diego Garcia.shp	"c(72.40833, -7.22617)"
BFC18-041-T	Acropora	A.tenuis	2018	02/04/2018	Chagos	Diego Garcia	Diego Garcia	Mid Island	Mid Island	-7.22617	72.40833	population_Diego Garcia.shp	"c(72.40833, -7.22617)"
BFC18-044-T	Acropora	A.tenuis	2018	03/04/2018	Chagos	Diego Garcia	Diego Garcia	Mid Island	Mid Island	-7.22617	72.40833	population_Diego Garcia.shp	"c(72.40833, -7.22617)"
BFC18-396-T	Acropora	A.tenuis	2018	15/04/2018	Chagos	Diego Garcia	Diego Garcia	Barton Point	Barton Point	-7.23317	72.43867	population_Diego Garcia.shp	"c(72.43867, -7.23317)"
BFC18-398-T	Acropora	A.tenuis	2018	15/04/2018	Chagos	Diego Garcia	Diego Garcia	Barton Point	Barton Point	-7.23317	72.43867	population_Diego Garcia.shp	"c(72.43867, -7.23317)"
BFC18-400-T	Acropora	A.tenuis	2018	15/04/2018	Chagos	Diego Garcia	Diego Garcia	Barton Point	Barton Point	-7.23317	72.43867	population_Diego Garcia.shp	"c(72.43867, -7.23317)"
BFC18-401-T	Acropora	A.tenuis	2018	15/04/2018	Chagos	Diego Garcia	Diego Garcia	Barton Point	Barton Point	-7.23317	72.43867	population_Diego Garcia.shp	"c(72.43867, -7.23317)"
BFC18-403-T	Acropora	A.tenuis	2018	15/04/2018	Chagos	Diego Garcia	Diego Garcia	Barton Point	Barton Point	-7.23317	72.43867	population_Diego Garcia.shp	"c(72.43867, -7.23317)"
BFC18-404-T	Acropora	A.tenuis	2018	15/04/2018	Chagos	Diego Garcia	Diego Garcia	Barton Point	Barton Point	-7.23317	72.43867	population_Diego Garcia.shp	"c(72.43867, -7.23317)"
BFC18-405-T	Acropora	A.tenuis	2018	15/04/2018	Chagos	Diego Garcia	Diego Garcia	Barton Point	Barton Point	-7.23317	72.43867	population_Diego Garcia.shp	"c(72.43867, -7.23317)"
BFC20-003-T	Acropora	A.tenuis	2020	09/03/2020	Chagos	Diego Garcia	Diego Garcia	Barton point (seaward)	Barton point (seaward)	-7.23317	72.43867	population_Diego Garcia.shp	"c(72.43867, -7.23317)"
BFC20-004-T	Acropora	A.tenuis	2020	09/03/2020	Chagos	Diego Garcia	Diego Garcia	Barton point (seaward)	Barton point (seaward)	-7.23317	72.43867	population_Diego Garcia.shp	"c(72.43867, -7.23317)"
BFC20-005-T	Acropora	A.tenuis	2020	09/03/2020	Chagos	Diego Garcia	Diego Garcia	Barton point (seaward)	Barton point (seaward)	-7.23317	72.43867	population_Diego Garcia.shp	"c(72.43867, -7.23317)"
BFC20-010-T	Acropora	A.tenuis	2020	10/03/2020	Chagos	Diego Garcia	Diego Garcia	Barton point (lagoon)	Barton point (lagoon)	-7.23317	72.43867	population_Diego Garcia.shp	"c(72.43867, -7.23317)"
BFC20-012-T	Acropora	A.tenuis	2020	10/03/2020	Chagos	Diego Garcia	Diego Garcia	Barton point (lagoon)	Barton point (lagoon)	-7.23317	72.43867	population_Diego Garcia.shp	"c(72.43867, -7.23317)"
BFC20-015-T	Acropora	A.tenuis	2020	10/03/2020	Chagos	Diego Garcia	Diego Garcia	Barton point (lagoon)	Barton point (lagoon)	-7.23317	72.43867	population_Diego Garcia.shp	"c(72.43867, -7.23317)"
BFC20-016-T	Acropora	A.tenuis	2020	10/03/2020	Chagos	Diego Garcia	Diego Garcia	Barton point (lagoon)	Barton point (lagoon)	-7.23317	72.43867	population_Diego Garcia.shp	"c(72.43867, -7.23317)"
BFC20-017-T	Acropora	A.tenuis	2020	10/03/2020	Chagos	Diego Garcia	Diego Garcia	East Island (lagoon)	East Island (lagoon)	-7.347557	72.458019	population_Diego Garcia.shp	"c(72.458019, -7.347557)"
BFC20-018-T	Acropora	A.tenuis	2020	10/03/2020	Chagos	Diego Garcia	Diego Garcia	East Island (lagoon)	East Island (lagoon)	-7.347557	72.458019	population_Diego Garcia.shp	"c(72.458019, -7.347557)"
BFC20-019-T	Acropora	A.tenuis	2020	10/03/2020	Chagos	Diego Garcia	Diego Garcia	East Island (lagoon)	East Island (lagoon)	-7.347557	72.458019	population_Diego Garcia.shp	"c(72.458019, -7.347557)"
BFC20-020-T	Acropora	A.tenuis	2020	10/03/2020	Chagos	Diego Garcia	Diego Garcia	East Island (lagoon)	East Island (lagoon)	-7.347557	72.458019	population_Diego Garcia.shp	"c(72.458019, -7.347557)"
TAAF19-012-T	Acropora	A.tenuis	2019	20/04/2019	French territory	Iles Glorieuses	Iles Glorieuses	Grand Glorieuse (South)	Grand Glorieuse (South)	-11.558694	47.292583	population_Iles Glorieuses.shp	"c(47.292583, -11.558694)"
TAAF19-017-T	Acropora	A.tenuis	2019	21/04/2019	French territory	Iles Glorieuses	Iles Glorieuses	Grand Glorieuse (north)	Grand Glorieuse (north)	-11.558694	47.292583	population_Iles Glorieuses.shp	"c(47.292583, -11.558694)"
TAAF19-021-T	Acropora	A.tenuis	2019	21/04/2019	French territory	Iles Glorieuses	Iles Glorieuses	Grand Glorieuse (north)	Grand Glorieuse (north)	-11.558694	47.292583	population_Iles Glorieuses.shp	"c(47.292583, -11.558694)"
TAAF19-027-T	Acropora	A.tenuis	2019	22/04/2019	French territory	Iles Glorieuses	Iles Glorieuses	Grand Glorieuse (north)	Grand Glorieuse (north)	-11.558694	47.292583	population_Iles Glorieuses.shp	"c(47.292583, -11.558694)"
TAAF19-031-T	Acropora	A.tenuis	2019	22/04/2019	French territory	Iles Glorieuses	Iles Glorieuses	Grand Glorieuse (north)	Grand Glorieuse (north)	-11.558694	47.292583	population_Iles Glorieuses.shp	"c(47.292583, -11.558694)"
TAAF19-032-T	Acropora	A.tenuis	2019	22/04/2019	French territory	Iles Glorieuses	Iles Glorieuses	Grand Glorieuse (north)	Grand Glorieuse (north)	-11.558694	47.292583	population_Iles Glorieuses.shp	"c(47.292583, -11.558694)"
TAAF19-036-T	Acropora	A.tenuis	2019	22/04/2019	French territory	Iles Glorieuses	Iles Glorieuses	Grand Glorieuse (north)	Grand Glorieuse (north)	-11.558694	47.292583	population_Iles Glorieuses.shp	"c(47.292583, -11.558694)"
TAAF19-042-T	Acropora	A.tenuis	2019	23/04/2019	French territory	Iles Glorieuses	Iles Glorieuses	Ile du Lys	Ile du Lys	-11.502108	47.352	population_Iles Glorieuses.shp	"c(47.352, -11.502108)"
TAAF19-046-T	Acropora	A.tenuis	2019	23/04/2019	French territory	Iles Glorieuses	Iles Glorieuses	Ile du Lys	Ile du Lys	-11.502108	47.352	population_Iles Glorieuses.shp	"c(47.352, -11.502108)"
AJB18-022-T	Acropora	A.tenuis	2018	07/10/2018	Seychelles	Praslin	Seychelles Inner Islands	Praslin APC	Praslin	-4.305556	55.734444	population_Seychelles Inner Islands.shp	"c(55.734444, -4.305556)"
AJB18-023-T	Acropora	A.tenuis	2018	08/10/2018	Seychelles	Praslin	Seychelles Inner Islands	Praslin APC	Praslin	-4.305556	55.734444	population_Seychelles Inner Islands.shp	"c(55.734444, -4.305556)"
AJB18-026-T	Acropora	A.tenuis	2018	07/10/2018	Seychelles	Praslin	Seychelles Inner Islands	Praslin APC	Praslin	-4.305556	55.734444	population_Seychelles Inner Islands.shp	"c(55.734444, -4.305556)"
AJB18-029-T	Acropora	A.tenuis	2018	07/10/2018	Seychelles	Praslin	Seychelles Inner Islands	Praslin APC	Praslin	-4.305556	55.734444	population_Seychelles Inner Islands.shp	"c(55.734444, -4.305556)"
AJB18-031-T	Acropora	A.tenuis	2018	07/10/2018	Seychelles	Praslin	Seychelles Inner Islands	Praslin APC	Praslin	-4.305556	55.734444	population_Seychelles Inner Islands.shp	"c(55.734444, -4.305556)"
AJB18-045-T	Acropora	A.tenuis	2018	07/10/2018	Seychelles	Curieuse	Seychelles Inner Islands	Curieuse.Larai	Curieuse	-4.284722	55.733611	population_Seychelles Inner Islands.shp	"c(55.733611, -4.284722)"
AJB18-046-T	Acropora	A.tenuis	2018	07/10/2018	Seychelles	Curieuse	Seychelles Inner Islands	Curieuse.Larai	Curieuse	-4.284722	55.733611	population_Seychelles Inner Islands.shp	"c(55.733611, -4.284722)"
AJB18-047-T	Acropora	A.tenuis	2018	07/10/2018	Seychelles	Curieuse	Seychelles Inner Islands	Curieuse.Larai	Curieuse	-4.284722	55.733611	population_Seychelles Inner Islands.shp	"c(55.733611, -4.284722)"
AJB19-300-T	Acropora	A.tenuis	2019	29/01/2019	Seychelles	Aride	Seychelles Inner Islands	Aride	Aride	-4.214444	55.659444	population_Seychelles Inner Islands.shp	"c(55.659444, -4.214444)"
AJB19-301-T	Acropora	A.tenuis	2019	29/01/2019	Seychelles	Aride	Seychelles Inner Islands	Aride	Aride	-4.214444	55.659444	population_Seychelles Inner Islands.shp	"c(55.659444, -4.214444)"
AJB19-302-T	Acropora	A.tenuis	2019	29/01/2019	Seychelles	Aride	Seychelles Inner Islands	Aride	Aride	-4.214444	55.659444	population_Seychelles Inner Islands.shp	"c(55.659444, -4.214444)"
AJB19-306-T	Acropora	A.tenuis	2019	29/01/2019	Seychelles	Aride	Seychelles Inner Islands	Aride	Aride	-4.214444	55.659444	population_Seychelles Inner Islands.shp	"c(55.659444, -4.214444)"
AJB19-310-T	Acropora	A.tenuis	2019	29/01/2019	Seychelles	Aride	Seychelles Inner Islands	Aride	Aride	-4.214444	55.659444	population_Seychelles Inner Islands.shp	"c(55.659444, -4.214444)"
AJB19-311-T	Acropora	A.tenuis	2019	29/01/2019	Seychelles	Aride	Seychelles Inner Islands	Aride	Aride	-4.214444	55.659444	population_Seychelles Inner Islands.shp	"c(55.659444, -4.214444)"
AJB19-312-T	Acropora	A.tenuis	2019	29/01/2019	Seychelles	Aride	Seychelles Inner Islands	Aride	Aride	-4.214444	55.659444	population_Seychelles Inner Islands.shp	"c(55.659444, -4.214444)"
AJB19-314-T	Acropora	A.tenuis	2019	29/01/2019	Seychelles	Aride	Seychelles Inner Islands	Aride	Aride	-4.214444	55.659444	population_Seychelles Inner Islands.shp	"c(55.659444, -4.214444)"
AJB19-315-T	Acropora	A.tenuis	2019	29/01/2019	Seychelles	Aride	Seychelles Inner Islands	Aride	Aride	-4.214444	55.659444	population_Seychelles Inner Islands.shp	"c(55.659444, -4.214444)"
AJB19-316-T	Acropora	A.tenuis	2019	29/01/2019	Seychelles	Aride	Seychelles Inner Islands	Aride	Aride	-4.214444	55.659444	population_Seychelles Inner Islands.shp	"c(55.659444, -4.214444)"
AJB19-317-T	Acropora	A.tenuis	2019	29/01/2019	Seychelles	Aride	Seychelles Inner Islands	Aride	Aride	-4.214444	55.659444	population_Seychelles Inner Islands.shp	"c(55.659444, -4.214444)"
AJB19-318-T	Acropora	A.tenuis	2019	29/01/2019	Seychelles	Aride	Seychelles Inner Islands	Aride	Aride	-4.214444	55.659444	population_Seychelles Inner Islands.shp	"c(55.659444, -4.214444)"
AJB19-320-T	Acropora	A.tenuis	2019	29/01/2019	Seychelles	Aride	Seychelles Inner Islands	Aride	Aride	-4.214444	55.659444	population_Seychelles Inner Islands.shp	"c(55.659444, -4.214444)"
AJB19-324-T	Acropora	A.tenuis	2019	13/04/2019	Seychelles	Fregate	Seychelles Inner Islands	Fregate	Fregate	-4.579722	55.934167	population_Seychelles Inner Islands.shp	"c(55.934167, -4.579722)"
AJB19-325-T	Acropora	A.tenuis	2019	13/04/2019	Seychelles	Fregate	Seychelles Inner Islands	Fregate	Fregate	-4.579722	55.934167	population_Seychelles Inner Islands.shp	"c(55.934167, -4.579722)"
AJB19-326-T	Acropora	A.tenuis	2019	13/04/2019	Seychelles	Fregate	Seychelles Inner Islands	Fregate	Fregate	-4.579722	55.934167	population_Seychelles Inner Islands.shp	"c(55.934167, -4.579722)"
AJB19-331-T	Acropora	A.tenuis	2019	13/04/2019	Seychelles	Fregate	Seychelles Inner Islands	Fregate	Fregate	-4.579722	55.934167	population_Seychelles Inner Islands.shp	"c(55.934167, -4.579722)"
AJB19-333-T	Acropora	A.tenuis	2019	13/04/2019	Seychelles	Fregate	Seychelles Inner Islands	Fregate	Fregate	-4.579722	55.934167	population_Seychelles Inner Islands.shp	"c(55.934167, -4.579722)"
AJB19-334-T	Acropora	A.tenuis	2019	13/04/2019	Seychelles	Fregate	Seychelles Inner Islands	Fregate	Fregate	-4.579722	55.934167	population_Seychelles Inner Islands.shp	"c(55.934167, -4.579722)"
AJB19-335-T	Acropora	A.tenuis	2019	13/04/2019	Seychelles	Fregate	Seychelles Inner Islands	Fregate	Fregate	-4.579722	55.934167	population_Seychelles Inner Islands.shp	"c(55.934167, -4.579722)"
AJB19-337-T	Acropora	A.tenuis	2019	13/04/2019	Seychelles	Fregate	Seychelles Inner Islands	Fregate	Fregate	-4.579722	55.934167	population_Seychelles Inner Islands.shp	"c(55.934167, -4.579722)"
AJB19-339-T	Acropora	A.tenuis	2019	13/04/2019	Seychelles	Fregate	Seychelles Inner Islands	Fregate	Fregate	-4.579722	55.934167	population_Seychelles Inner Islands.shp	"c(55.934167, -4.579722)"
AJB19-351-T	Acropora	A.tenuis	2019	13/04/2019	Seychelles	Fregate	Seychelles Inner Islands	Fregate	Fregate	-4.579722	55.934167	population_Seychelles Inner Islands.shp	"c(55.934167, -4.579722)"
AJB18-124-T	Acropora	A.tenuis	2018	07/11/2018	Seychelles	Assumption	Seychelles Outer Islands	Assumption Jetty Left	Assumption	-9.731667	46.501667	population_Seychelles Outer Islands.shp	"c(46.501667, -9.731667)"
AJB18-125-T	Acropora	A.tenuis	2018	07/11/2018	Seychelles	Assumption	Seychelles Outer Islands	Assumption Jetty Left	Assumption	-9.731667	46.501667	population_Seychelles Outer Islands.shp	"c(46.501667, -9.731667)"
AJB18-126-T	Acropora	A.tenuis	2018	07/11/2018	Seychelles	Assumption	Seychelles Outer Islands	Assumption Jetty Left	Assumption	-9.731667	46.501667	population_Seychelles Outer Islands.shp	"c(46.501667, -9.731667)"
AJB18-127-T	Acropora	A.tenuis	2018	07/11/2018	Seychelles	Assumption	Seychelles Outer Islands	Assumption Jetty Left	Assumption	-9.731667	46.501667	population_Seychelles Outer Islands.shp	"c(46.501667, -9.731667)"
AJB18-129-T	Acropora	A.tenuis	2018	07/11/2018	Seychelles	Assumption	Seychelles Outer Islands	Assumption Jetty Left	Assumption	-9.731667	46.501667	population_Seychelles Outer Islands.shp	"c(46.501667, -9.731667)"
AJB18-130-T	Acropora	A.tenuis	2018	07/11/2018	Seychelles	Assumption	Seychelles Outer Islands	Assumption Jetty Left	Assumption	-9.731667	46.501667	population_Seychelles Outer Islands.shp	"c(46.501667, -9.731667)"
AJB18-151-T	Acropora	A.tenuis	2018	19/11/2018	Seychelles	Aldabra	Seychelles Outer Islands	Anse Var 20m	Aldabra	-9.37353	46.21268	population_Seychelles Outer Islands.shp	"c(46.21268, -9.37353)"
AJB18-152-T	Acropora	A.tenuis	2018	16/11/2018	Seychelles	Aldabra	Seychelles Outer Islands	ARM07	Aldabra	-9.46348	46.21877	population_Seychelles Outer Islands.shp	"c(46.21877, -9.46348)"
AJB18-157-T	Acropora	A.tenuis	2018	19/11/2018	Seychelles	Aldabra	Seychelles Outer Islands	Anse Var 20m	Aldabra	-9.37353	46.21268	population_Seychelles Outer Islands.shp	"c(46.21268, -9.37353)"
AJB18-158-T	Acropora	A.tenuis	2018	15/11/2018	Seychelles	Aldabra	Seychelles Outer Islands	ARM9	Aldabra	-9.41347	46.25736	population_Seychelles Outer Islands.shp	"c(46.25736, -9.41347)"
AJB18-159-T	Acropora	A.tenuis	2018	15/11/2018	Seychelles	Aldabra	Seychelles Outer Islands	ARM9	Aldabra	-9.41347	46.25736	population_Seychelles Outer Islands.shp	"c(46.25736, -9.41347)"
AJB18-161-T	Acropora	A.tenuis	2018	19/11/2018	Seychelles	Aldabra	Seychelles Outer Islands	Anse Var 20m	Aldabra	-9.37353	46.21268	population_Seychelles Outer Islands.shp	"c(46.21268, -9.37353)"
AJB18-163-T	Acropora	A.tenuis	2018	15/11/2018	Seychelles	Aldabra	Seychelles Outer Islands	ARM9	Aldabra	-9.41347	46.25736	population_Seychelles Outer Islands.shp	"c(46.25736, -9.41347)"
AJB18-164-T	Acropora	A.tenuis	2018	16/11/2018	Seychelles	Aldabra	Seychelles Outer Islands	ARM07	Aldabra	-9.46348	46.21877	population_Seychelles Outer Islands.shp	"c(46.21877, -9.46348)"
AJB18-168-T	Acropora	A.tenuis	2018	19/11/2018	Seychelles	Aldabra	Seychelles Outer Islands	Anse Var 20m	Aldabra	-9.37353	46.21268	population_Seychelles Outer Islands.shp	"c(46.21268, -9.37353)"
AJB18-170-T	Acropora	A.tenuis	2018	19/11/2018	Seychelles	Aldabra	Seychelles Outer Islands	Lag 1	Aldabra	-9.401944	46.255278	population_Seychelles Outer Islands.shp	"c(46.255278, -9.401944)"
AJB18-171-T	Acropora	A.tenuis	2018	19/11/2018	Seychelles	Aldabra	Seychelles Outer Islands	Lag 1	Aldabra	-9.401944	46.255278	population_Seychelles Outer Islands.shp	"c(46.255278, -9.401944)"
AJB18-173-T	Acropora	A.tenuis	2018	19/11/2018	Seychelles	Aldabra	Seychelles Outer Islands	Lag 1	Aldabra	-9.401944	46.255278	population_Seychelles Outer Islands.shp	"c(46.255278, -9.401944)"
AJB18-174-T	Acropora	A.tenuis	2018	19/11/2018	Seychelles	Aldabra	Seychelles Outer Islands	Lag 1	Aldabra	-9.401944	46.255278	population_Seychelles Outer Islands.shp	"c(46.255278, -9.401944)"
AJB18-176-T	Acropora	A.tenuis	2018	19/11/2018	Seychelles	Aldabra	Seychelles Outer Islands	Lag 1	Aldabra	-9.401944	46.255278	population_Seychelles Outer Islands.shp	"c(46.255278, -9.401944)"
AJB18-177-T	Acropora	A.tenuis	2018	19/11/2018	Seychelles	Aldabra	Seychelles Outer Islands	Lag 1	Aldabra	-9.401944	46.255278	population_Seychelles Outer Islands.shp	"c(46.255278, -9.401944)"
AJB18-179-T	Acropora	A.tenuis	2018	19/11/2018	Seychelles	Aldabra	Seychelles Outer Islands	Anse Var 20m	Aldabra	-9.37353	46.21268	population_Seychelles Outer Islands.shp	"c(46.21268, -9.37353)"
AJB18-183-T	Acropora	A.tenuis	2018	20/11/2018	Seychelles	Aldabra	Seychelles Outer Islands	Anse Var 20m	Aldabra	-9.37353	46.21268	population_Seychelles Outer Islands.shp	"c(46.21268, -9.37353)"
AJB18-184-T	Acropora	A.tenuis	2018	20/11/2018	Seychelles	Aldabra	Seychelles Outer Islands	Anse Var 20m	Aldabra	-9.37353	46.21268	population_Seychelles Outer Islands.shp	"c(46.21268, -9.37353)"
AJB19-522-T	Acropora	A.tenuis	2019	19/12/2019	Seychelles	Astove	Seychelles Outer Islands	Astove	Astove	-10.073889	47.730278	population_Seychelles Outer Islands.shp	"c(47.730278, -10.073889)"
AJB19-526-T	Acropora	A.tenuis	2019	19/12/2019	Seychelles	Astove	Seychelles Outer Islands	Astove	Astove	-10.073889	47.730278	population_Seychelles Outer Islands.shp	"c(47.730278, -10.073889)"
AJB19-531-T	Acropora	A.tenuis	2019	19/12/2019	Seychelles	Astove	Seychelles Outer Islands	Astove	Astove	-10.073889	47.730278	population_Seychelles Outer Islands.shp	"c(47.730278, -10.073889)"