Sample_ID,Species,Location,Year_collected,Date_collected,Country,Atoll,Site,GPS_point_1,GPS_point_2,geometry
BFC18-262-T,A. aff. tenuis,Chagos northern atolls,2018,07/04/2018,Chagos,Salomon,Courts Knoll,-5.30883,72.25233,"c(72.25233, -5.30883)"
BFC18-263-T,A. aff. tenuis,Chagos northern atolls,2018,07/04/2018,Chagos,Salomon,Courts Knoll,-5.30883,72.25233,"c(72.25233, -5.30883)"
BFC18-265-T,A. aff. tenuis,Chagos northern atolls,2018,07/04/2018,Chagos,Salomon,Courts Knoll,-5.30883,72.25233,"c(72.25233, -5.30883)"
BFC18-266-T,A. aff. tenuis,Chagos northern atolls,2018,07/04/2018,Chagos,Salomon,Courts Knoll,-5.30883,72.25233,"c(72.25233, -5.30883)"
BFC18-269-T,A. aff. tenuis,Chagos northern atolls,2018,07/04/2018,Chagos,Salomon,Ile de Passe,-5.29883,72.25517,"c(72.25517, -5.29883)"
BFC18-270-T,A. aff. tenuis,Chagos northern atolls,2018,07/04/2018,Chagos,Salomon,Ile de Passe,-5.29883,72.25517,"c(72.25517, -5.29883)"
BFC18-273-T,A. aff. tenuis,Chagos northern atolls,2018,07/04/2018,Chagos,Salomon,Ile de Passe,-5.29883,72.25517,"c(72.25517, -5.29883)"
BFC18-279-T,A. aff. tenuis,Chagos northern atolls,2018,07/04/2018,Chagos,Salomon,Ile de Passe,-5.29883,72.25517,"c(72.25517, -5.29883)"
BFC18-283-T,A. aff. tenuis,Chagos northern atolls,2018,07/04/2018,Chagos,Salomon,Ile de Passe,-5.29883,72.25517,"c(72.25517, -5.29883)"
BFC18-285-T,A. aff. tenuis,Chagos northern atolls,2018,07/04/2018,Chagos,Salomon,Ile de Passe,-5.29883,72.25517,"c(72.25517, -5.29883)"
BFC18-307-T,A. aff. tenuis,Chagos northern atolls,2018,09/04/2018,Chagos,Great Chagos Bank,Nelson seaward,-5.679483333,72.315,"c(72.315, -5.679483333)"
BFC18-309-T,A. aff. tenuis,Chagos northern atolls,2018,09/04/2018,Chagos,Great Chagos Bank,Nelson seaward,-5.679483333,72.315,"c(72.315, -5.679483333)"
BFC18-337-T,A. aff. tenuis,Chagos western atolls,2018,10/04/2018,Chagos,Great Chagos Bank,South Brother,-6.173066667,71.5373333,"c(71.5373333, -6.173066667)"
BFC18-349-T,A. aff. tenuis,Chagos western atolls,2018,11/04/2018,Chagos,Great Chagos Bank,Middle Brother lagoon,-6.15308,71.5198,"c(71.5198, -6.15308)"
BFC18-375-T,A. aff. tenuis,Chagos western atolls,2018,14/04/2018,Chagos,Egmont,Egmont Mid,-6.6434,71.358,"c(71.358, -6.6434)"
BFC18-376-T,A. aff. tenuis,Chagos western atolls,2018,14/04/2018,Chagos,Egmont,Egmont Mid,-6.6434,71.358,"c(71.358, -6.6434)"
BFC18-377-T,A. aff. tenuis,Chagos western atolls,2018,14/04/2018,Chagos,Egmont,Egmont Mid,-6.6434,71.358,"c(71.358, -6.6434)"
BFC18-378-T,A. aff. tenuis,Chagos western atolls,2018,14/04/2018,Chagos,Egmont,Egmont Mid,-6.6434,71.358,"c(71.358, -6.6434)"
BFC18-380-T,A. aff. tenuis,Chagos western atolls,2018,14/04/2018,Chagos,Egmont,Egmont Mid,-6.6434,71.358,"c(71.358, -6.6434)"
BFC18-381-T,A. aff. tenuis,Chagos western atolls,2018,14/04/2018,Chagos,Egmont,Egmont Mid,-6.6434,71.358,"c(71.358, -6.6434)"
BFC18-396-T,A. aff. tenuis,Diego Garcia,2018,15/04/2018,Chagos,Diego Garcia,Barton Point,-7.23317,72.43867,"c(72.43867, -7.23317)"
BFC18-398-T,A. aff. tenuis,Diego Garcia,2018,15/04/2018,Chagos,Diego Garcia,Barton Point,-7.23317,72.43867,"c(72.43867, -7.23317)"
BFC18-400-T,A. aff. tenuis,Diego Garcia,2018,15/04/2018,Chagos,Diego Garcia,Barton Point,-7.23317,72.43867,"c(72.43867, -7.23317)"
BFC18-401-T,A. aff. tenuis,Diego Garcia,2018,15/04/2018,Chagos,Diego Garcia,Barton Point,-7.23317,72.43867,"c(72.43867, -7.23317)"
BFC18-403-T,A. aff. tenuis,Diego Garcia,2018,15/04/2018,Chagos,Diego Garcia,Barton Point,-7.23317,72.43867,"c(72.43867, -7.23317)"
BFC18-404-T,A. aff. tenuis,Diego Garcia,2018,15/04/2018,Chagos,Diego Garcia,Barton Point,-7.23317,72.43867,"c(72.43867, -7.23317)"
BFC18-405-T,A. aff. tenuis,Diego Garcia,2018,15/04/2018,Chagos,Diego Garcia,Barton Point,-7.23317,72.43867,"c(72.43867, -7.23317)"
BFC19-016-T,A. aff. tenuis,Chagos northern atolls,2019,07/03/2019,Chagos,Peros Banhos,Ile du coin,-5.4425,71.767,"c(71.767, -5.4425)"
BFC19-018-T,A. aff. tenuis,Chagos northern atolls,2019,07/03/2019,Chagos,Peros Banhos,Ile du coin,-5.4425,71.767,"c(71.767, -5.4425)"
BFC19-024-T,A. aff. tenuis,Chagos northern atolls,2019,07/03/2019,Chagos,Peros Banhos,Ile du coin,-5.4425,71.767,"c(71.767, -5.4425)"
BFC19-025-T,A. aff. tenuis,Chagos northern atolls,2019,07/03/2019,Chagos,Peros Banhos,Ile du coin,-5.4425,71.767,"c(71.767, -5.4425)"
BFC19-026-T,A. aff. tenuis,Chagos northern atolls,2019,07/03/2019,Chagos,Peros Banhos,Ile du coin,-5.4425,71.767,"c(71.767, -5.4425)"
BFC19-027-T,A. aff. tenuis,Chagos northern atolls,2019,07/03/2019,Chagos,Peros Banhos,Ile du coin,-5.4425,71.767,"c(71.767, -5.4425)"
BFC19-029-T,A. aff. tenuis,Chagos northern atolls,2019,07/03/2019,Chagos,Peros Banhos,Ile du coin,-5.4425,71.767,"c(71.767, -5.4425)"
BFC19-030-T,A. aff. tenuis,Chagos northern atolls,2019,07/03/2019,Chagos,Peros Banhos,Ile du coin,-5.4425,71.767,"c(71.767, -5.4425)"
BFC19-034-T,A. aff. tenuis,Chagos northern atolls,2019,07/03/2019,Chagos,Peros Banhos,Ile du coin,-5.4425,71.767,"c(71.767, -5.4425)"
BFC19-041-T,A. aff. tenuis,Chagos northern atolls,2019,07/03/2019,Chagos,Peros Banhos,Ile du coin,-5.4425,71.767,"c(71.767, -5.4425)"
BFC19-042-T,A. aff. tenuis,Chagos northern atolls,2019,07/03/2019,Chagos,Peros Banhos,Ile du coin,-5.4425,71.767,"c(71.767, -5.4425)"
BFC19-043-T,A. aff. tenuis,Chagos northern atolls,2019,07/03/2019,Chagos,Peros Banhos,Ile du coin,-5.4425,71.767,"c(71.767, -5.4425)"
BFC19-045-T,A. aff. tenuis,Chagos northern atolls,2019,07/03/2019,Chagos,Peros Banhos,Ile du coin,-5.4425,71.767,"c(71.767, -5.4425)"
BFC19-051-T,A. aff. tenuis,Chagos northern atolls,2019,08/03/2019,Chagos,Peros Banhos,Ile de Poule (outside),-5.4063,71.74625,"c(71.74625, -5.4063)"
BFC19-053-T,A. aff. tenuis,Chagos northern atolls,2019,08/03/2019,Chagos,Peros Banhos,Ile de Poule (outside),-5.4063,71.74625,"c(71.74625, -5.4063)"
BFC19-054-T,A. aff. tenuis,Chagos northern atolls,2019,08/03/2019,Chagos,Peros Banhos,Ile de Poule (outside),-5.4063,71.74625,"c(71.74625, -5.4063)"
BFC19-058-T,A. aff. tenuis,Chagos northern atolls,2019,08/03/2019,Chagos,Peros Banhos,Ile de Poule (outside),-5.4063,71.74625,"c(71.74625, -5.4063)"
BFC19-059-T,A. aff. tenuis,Chagos northern atolls,2019,08/03/2019,Chagos,Peros Banhos,Ile de Poule (outside),-5.4063,71.74625,"c(71.74625, -5.4063)"
BFC19-096-T,A. aff. tenuis,Chagos northern atolls,2019,10/03/2019,Chagos,Salomon,Ile Anglaise seaward,-5.33867,72.21333,"c(72.21333, -5.33867)"
BFC19-100-T,A. aff. tenuis,Chagos northern atolls,2019,10/03/2019,Chagos,Salomon,Ile Anglaise seaward,-5.33867,72.21333,"c(72.21333, -5.33867)"
BFC19-102-T,A. aff. tenuis,Chagos northern atolls,2019,10/03/2019,Chagos,Salomon,Ile Anglaise seaward,-5.33867,72.21333,"c(72.21333, -5.33867)"
BFC19-103-T,A. aff. tenuis,Chagos northern atolls,2019,10/03/2019,Chagos,Salomon,Ile Anglaise seaward,-5.33867,72.21333,"c(72.21333, -5.33867)"
BFC19-105-T,A. aff. tenuis,Chagos northern atolls,2019,10/03/2019,Chagos,Salomon,Ile Anglaise seaward,-5.33867,72.21333,"c(72.21333, -5.33867)"
BFC19-108-T,A. aff. tenuis,Chagos northern atolls,2019,10/03/2019,Chagos,Salomon,Ile Anglaise seaward,-5.33867,72.21333,"c(72.21333, -5.33867)"
BFC19-109-T,A. aff. tenuis,Chagos northern atolls,2019,10/03/2019,Chagos,Salomon,Ile Anglaise seaward,-5.33867,72.21333,"c(72.21333, -5.33867)"
BFC19-110-T,A. aff. tenuis,Chagos northern atolls,2019,10/03/2019,Chagos,Salomon,Ile Anglaise seaward,-5.33867,72.21333,"c(72.21333, -5.33867)"
BFC19-112-T,A. aff. tenuis,Chagos northern atolls,2019,10/03/2019,Chagos,Salomon,Ile Anglaise seaward,-5.33867,72.21333,"c(72.21333, -5.33867)"
BFC19-113-T,A. aff. tenuis,Chagos northern atolls,2019,10/03/2019,Chagos,Salomon,Ile Anglaise seaward,-5.33867,72.21333,"c(72.21333, -5.33867)"
BFC19-115-T,A. aff. tenuis,Chagos northern atolls,2019,10/03/2019,Chagos,Salomon,Ile Anglaise seaward,-5.33867,72.21333,"c(72.21333, -5.33867)"
BFC19-119-T,A. aff. tenuis,Chagos northern atolls,2019,10/03/2019,Chagos,Salomon,Ile Anglaise seaward,-5.33867,72.21333,"c(72.21333, -5.33867)"
BFC19-120-T,A. aff. tenuis,Chagos northern atolls,2019,11/03/2019,Chagos,Salomon,Courts Knoll,-5.30883,72.25233,"c(72.25233, -5.30883)"
BFC19-121-T,A. aff. tenuis,Chagos northern atolls,2019,11/03/2019,Chagos,Salomon,Courts Knoll,-5.30883,72.25233,"c(72.25233, -5.30883)"
BFC19-122-T,A. aff. tenuis,Chagos northern atolls,2019,11/03/2019,Chagos,Salomon,Courts Knoll,-5.30883,72.25233,"c(72.25233, -5.30883)"
BFC19-123-T,A. aff. tenuis,Chagos northern atolls,2019,11/03/2019,Chagos,Salomon,Courts Knoll,-5.30883,72.25233,"c(72.25233, -5.30883)"
BFC19-124-T,A. aff. tenuis,Chagos northern atolls,2019,11/03/2019,Chagos,Salomon,Courts Knoll,-5.30883,72.25233,"c(72.25233, -5.30883)"
BFC19-127-T,A. aff. tenuis,Chagos northern atolls,2019,11/03/2019,Chagos,Salomon,Courts Knoll,-5.30883,72.25233,"c(72.25233, -5.30883)"
BFC19-129-T,A. aff. tenuis,Chagos northern atolls,2019,11/03/2019,Chagos,Salomon,Ile Anglaise lagoon,-5.33867,72.21333,"c(72.21333, -5.33867)"
BFC19-130-T,A. aff. tenuis,Chagos northern atolls,2019,11/03/2019,Chagos,Salomon,Ile Anglaise lagoon,-5.33867,72.21333,"c(72.21333, -5.33867)"
BFC19-131-T,A. aff. tenuis,Chagos northern atolls,2019,11/03/2019,Chagos,Salomon,Ile Anglaise lagoon,-5.33867,72.21333,"c(72.21333, -5.33867)"
BFC19-134-T,A. aff. tenuis,Chagos northern atolls,2019,11/03/2019,Chagos,Salomon,Courts Knoll,-5.30883,72.25233,"c(72.25233, -5.30883)"
BFC19-135-T,A. aff. tenuis,Chagos northern atolls,2019,11/03/2019,Chagos,Salomon,Ile Anglaise lagoon,-5.33867,72.21333,"c(72.21333, -5.33867)"
BFC19-136-T,A. aff. tenuis,Chagos northern atolls,2019,11/03/2019,Chagos,Salomon,Ile Anglaise lagoon,-5.33867,72.21333,"c(72.21333, -5.33867)"
BFC19-138-T,A. aff. tenuis,Chagos northern atolls,2019,11/03/2019,Chagos,Salomon,Ile Anglaise lagoon,-5.33867,72.21333,"c(72.21333, -5.33867)"
BFC19-139-T,A. aff. tenuis,Chagos northern atolls,2019,11/03/2019,Chagos,Salomon,Ile Anglaise lagoon,-5.33867,72.21333,"c(72.21333, -5.33867)"
BFC19-140-T,A. aff. tenuis,Chagos northern atolls,2019,11/03/2019,Chagos,Salomon,Ile Anglaise lagoon,-5.33867,72.21333,"c(72.21333, -5.33867)"
BFC19-141-T,A. aff. tenuis,Chagos northern atolls,2019,11/03/2019,Chagos,Salomon,Ile Anglaise lagoon,-5.33867,72.21333,"c(72.21333, -5.33867)"
BFC19-142-T,A. aff. tenuis,Chagos northern atolls,2019,11/03/2019,Chagos,Salomon,Ile Anglaise lagoon,-5.33867,72.21333,"c(72.21333, -5.33867)"
BFC19-155-T,A. aff. tenuis,Chagos northern atolls,2019,12/03/2019,Chagos,Salomon,Ile de Passe,-5.29883,72.25517,"c(72.25517, -5.29883)"
BFC19-160-T,A. aff. tenuis,Chagos northern atolls,2019,12/03/2019,Chagos,Salomon,Ile de Passe,-5.29883,72.25517,"c(72.25517, -5.29883)"
BFC19-161-T,A. aff. tenuis,Chagos northern atolls,2019,12/03/2019,Chagos,Salomon,Ile de Passe,-5.29883,72.25517,"c(72.25517, -5.29883)"
BFC19-163-T,A. aff. tenuis,Chagos northern atolls,2019,12/03/2019,Chagos,Salomon,Ile de Passe,-5.29883,72.25517,"c(72.25517, -5.29883)"
BFC19-165-T,A. aff. tenuis,Chagos northern atolls,2019,13/03/2019,Chagos,Great Chagos Bank,Nelson seaward,-5.679483333,72.315,"c(72.315, -5.679483333)"
BFC19-178-T,A. aff. tenuis,Chagos northern atolls,2019,13/03/2019,Chagos,Great Chagos Bank,Nelson seaward,-5.679483333,72.315,"c(72.315, -5.679483333)"
BFC19-216-T,A. aff. tenuis,Chagos western atolls,2019,15/03/2019,Chagos,Great Chagos Bank,Brothers Mid Lagoon,-6.15308,71.5198,"c(71.5198, -6.15308)"
BFC19-220-T,A. aff. tenuis,Chagos western atolls,2019,15/03/2019,Chagos,Great Chagos Bank,Brothers North,-6.1395,71.50483,"c(71.50483, -6.1395)"
BFC19-221-T,A. aff. tenuis,Chagos western atolls,2019,15/03/2019,Chagos,Great Chagos Bank,Brothers North,-6.1395,71.50483,"c(71.50483, -6.1395)"
BFC19-222-T,A. aff. tenuis,Chagos western atolls,2019,15/03/2019,Chagos,Great Chagos Bank,Brothers North,-6.1395,71.50483,"c(71.50483, -6.1395)"
BFC19-227-T,A. aff. tenuis,Chagos western atolls,2019,16/03/2019,Chagos,Great Chagos Bank,Eagle Seaward,-6.6434,71.358,"c(71.358, -6.6434)"
BFC19-240-T,A. aff. tenuis,Chagos western atolls,2019,16/03/2019,Chagos,Great Chagos Bank,Eagle Seaward,-6.6434,71.358,"c(71.358, -6.6434)"
BFC19-243-T,A. aff. tenuis,Chagos western atolls,2019,16/03/2019,Chagos,Great Chagos Bank,Eagle Seaward,-6.6434,71.358,"c(71.358, -6.6434)"
BFC19-246-T,A. aff. tenuis,Chagos western atolls,2019,16/03/2019,Chagos,Great Chagos Bank,Eagle Seaward,-6.6434,71.358,"c(71.358, -6.6434)"
BFC19-248-T,A. aff. tenuis,Chagos western atolls,2019,16/03/2019,Chagos,Great Chagos Bank,Eagle Seaward,-6.6434,71.358,"c(71.358, -6.6434)"
BFC19-254-T,A. aff. tenuis,Chagos northern atolls,2019,13/03/2019,Chagos,Great Chagos Bank,Nelson seaward,-5.679483333,72.315,"c(72.315, -5.679483333)"
BFC19-255-T,A. aff. tenuis,Chagos northern atolls,2019,13/03/2019,Chagos,Great Chagos Bank,Nelson seaward,-5.679483333,72.315,"c(72.315, -5.679483333)"
BFC19-257-T,A. aff. tenuis,Chagos northern atolls,2019,13/03/2019,Chagos,Great Chagos Bank,Nelson seaward,-5.679483333,72.315,"c(72.315, -5.679483333)"
BFC19-260-T,A. aff. tenuis,Chagos northern atolls,2019,13/03/2019,Chagos,Great Chagos Bank,Nelson seaward,-5.679483333,72.315,"c(72.315, -5.679483333)"
BFC19-262-T,A. aff. tenuis,Chagos northern atolls,2019,13/03/2019,Chagos,Great Chagos Bank,Nelson seaward,-5.679483333,72.315,"c(72.315, -5.679483333)"
BFC20-003-T,A. aff. tenuis,Diego Garcia,2020,09/03/2020,Chagos,Diego Garcia,Barton point (seaward),-7.23317,72.43867,"c(72.43867, -7.23317)"
BFC20-004-T,A. aff. tenuis,Diego Garcia,2020,09/03/2020,Chagos,Diego Garcia,Barton point (seaward),-7.23317,72.43867,"c(72.43867, -7.23317)"
BFC20-005-T,A. aff. tenuis,Diego Garcia,2020,09/03/2020,Chagos,Diego Garcia,Barton point (seaward),-7.23317,72.43867,"c(72.43867, -7.23317)"
BFC20-010-T,A. aff. tenuis,Diego Garcia,2020,10/03/2020,Chagos,Diego Garcia,Barton point (lagoon),-7.23317,72.43867,"c(72.43867, -7.23317)"
BFC20-012-T,A. aff. tenuis,Diego Garcia,2020,10/03/2020,Chagos,Diego Garcia,Barton point (lagoon),-7.23317,72.43867,"c(72.43867, -7.23317)"
BFC20-015-T,A. aff. tenuis,Diego Garcia,2020,10/03/2020,Chagos,Diego Garcia,Barton point (lagoon),-7.23317,72.43867,"c(72.43867, -7.23317)"
BFC20-016-T,A. aff. tenuis,Diego Garcia,2020,10/03/2020,Chagos,Diego Garcia,Barton point (lagoon),-7.23317,72.43867,"c(72.43867, -7.23317)"
BFC20-017-T,A. aff. tenuis,Diego Garcia,2020,10/03/2020,Chagos,Diego Garcia,East Island (lagoon),-7.347557,72.458019,"c(72.458019, -7.347557)"
BFC20-018-T,A. aff. tenuis,Diego Garcia,2020,10/03/2020,Chagos,Diego Garcia,East Island (lagoon),-7.347557,72.458019,"c(72.458019, -7.347557)"
BFC20-019-T,A. aff. tenuis,Diego Garcia,2020,10/03/2020,Chagos,Diego Garcia,East Island (lagoon),-7.347557,72.458019,"c(72.458019, -7.347557)"
BFC20-020-T,A. aff. tenuis,Diego Garcia,2020,10/03/2020,Chagos,Diego Garcia,East Island (lagoon),-7.347557,72.458019,"c(72.458019, -7.347557)"
TAAF19-012-T,A. aff. tenuis,Iles Glorieuses,2019,20/04/2019,French territory,Iles Glorieuses,Grand Glorieuse (South),-11.558694,47.292583,"c(47.292583, -11.558694)"
TAAF19-017-T,A. aff. tenuis,Iles Glorieuses,2019,21/04/2019,French territory,Iles Glorieuses,Grand Glorieuse (north),-11.558694,47.292583,"c(47.292583, -11.558694)"
TAAF19-021-T,A. aff. tenuis,Iles Glorieuses,2019,21/04/2019,French territory,Iles Glorieuses,Grand Glorieuse (north),-11.558694,47.292583,"c(47.292583, -11.558694)"
TAAF19-027-T,A. aff. tenuis,Iles Glorieuses,2019,22/04/2019,French territory,Iles Glorieuses,Grand Glorieuse (north),-11.558694,47.292583,"c(47.292583, -11.558694)"
TAAF19-031-T,A. aff. tenuis,Iles Glorieuses,2019,22/04/2019,French territory,Iles Glorieuses,Grand Glorieuse (north),-11.558694,47.292583,"c(47.292583, -11.558694)"
TAAF19-032-T,A. aff. tenuis,Iles Glorieuses,2019,22/04/2019,French territory,Iles Glorieuses,Grand Glorieuse (north),-11.558694,47.292583,"c(47.292583, -11.558694)"
TAAF19-036-T,A. aff. tenuis,Iles Glorieuses,2019,22/04/2019,French territory,Iles Glorieuses,Grand Glorieuse (north),-11.558694,47.292583,"c(47.292583, -11.558694)"
TAAF19-042-T,A. aff. tenuis,Iles Glorieuses,2019,23/04/2019,French territory,Iles Glorieuses,Ile du Lys,-11.502108,47.352,"c(47.352, -11.502108)"
TAAF19-046-T,A. aff. tenuis,Iles Glorieuses,2019,23/04/2019,French territory,Iles Glorieuses,Ile du Lys,-11.502108,47.352,"c(47.352, -11.502108)"